Office Name,Office type,Office province,Phone number,Email address,Physical address,Website,Contact person,Link to Google Maps,Latitude,Longitude
Legal Aid SA Northern Cape/Western Cape Provincial Office,"
Legal Aid South Africa",Western Cape,(021) 697 5252,,"2nd Floor, Melofin Centre, Klipfontein Road, Athlone, 7764",www.legal-aid.co.za,Ms Nolitha Jali,,-33.9602738,18.50388
Legal Aid SA Athlone Local Office,"
Legal Aid South Africa",Western Cape,(021) 697 5252,,"2nd Floor, Melofin Centre, Klipfontein Road, Athlone, 7764",www.legal-aid.co.za,Ms Nomawethu Mtebele,,-33.9602738,18.50388
Legal Aid SA Mitchells Plain Satellite Office,"
Legal Aid South Africa",Western Cape,(021) 370 4220,,"Mitchells Plain Court, Mitchells Plain, 7785",www.legal-aid.co.za,,,-34.0483939,18.6238298
Legal Aid SA Bellville Local Office,"
Legal Aid South Africa",Western Cape,(021) 949 3062,,"Van Der Stel Building, 68 Durban Road, corner Voortrekker & Durban Roads, Bellville, 7535",www.legal-aid.co.za,Ms Ronelle Arendse,,-33.9005916,18.6275802
Legal Aid SA Caledon Local Office,"
Legal Aid South Africa",Western Cape,(028) 212 1815,,"22 Church Street, Caledon, 7230",www.legal-aid.co.za,Ms Netarie Verwey,,-34.228015,19.4586453
Legal Aid SA Swellendam Satellite Office,"
Legal Aid South Africa",Western Cape,(028) 514 3026,,"67 Voortrek Street, Swellendam, 6470",www.legal-aid.co.za,,,-34.0216358,20.4415468
Legal Aid SA Cape Town Local Office,"
Legal Aid South Africa",Western Cape,(021) 426 4126,,"3rd Floor, South African Reserve Bank Building, 60 St Georges Mall, Cape Town, 8001",www.legal-aid.co.za,Mr Elroy Machelm,,-33.9222205,18.4213456
Legal Aid SA George Local Office,"
Legal Aid South Africa",Western Cape,(044) 802 8600,,"Tommy Joubert Building, corner Craddock & Courtenay Streets, George, 6530",www.legal-aid.co.za,Ms Zukiswa Mavuso,,-33.9625893,22.4584012
Legal Aid SA Beaufort West Satellite Office,"
Legal Aid South Africa",Western Cape,(023) 415 1689,,"102 Bird Street, Beaufort West, 6970",www.legal-aid.co.za,,,-32.3525585,22.5840985
Legal Aid SA Oudtshoorn Satellite Office,"
Legal Aid South Africa",Western Cape,(044) 279 2255,,"Allied Building, Rooms 302 ,303 & 304, Kerk Street, Oudtshoorn",www.legal-aid.co.za,,,-33.585858,22.1851005
Legal Aid SA Riversdale Satellite Office,"
Legal Aid South Africa",Western Cape,(028) 713 4620,,"17 Heidelberg Road, Riversdale, 6670",www.legal-aid.co.za,,,-34.0921016,21.2563587
Legal Aid SA Malmesbury Local Office,"
Legal Aid South Africa",Western Cape,(022) 482 1784,,"1st Floor, The Frank Building, 47 Voortrekker Road, Malmesbury, 7300",www.legal-aid.co.zaa,,,-33.4638357,18.7289399
Legal Aid SA Atlantis Satellite Office,Legal Aid South Africa,Western Cape,(021) 572 8522,,"Drosdy Centre, Wesfleur Circle, Atlantis",www.legal-aid.co.za,,,-33.562458,18.493638
